country,name,full_name
thailand,Thailand 15Y,Thailand 15-Year
thailand,Thailand 12Y,Thailand 12-Year
thailand,Thailand 14Y,Thailand 14-Year
thailand,Thailand 10Y,Thailand 10-Year
thailand,Thailand 5Y,Thailand 5-Year
thailand,Thailand 3Y,Thailand 3-Year
thailand,Thailand 2Y,Thailand 2-Year
thailand,Thailand 1Y,Thailand 1-Year
thailand,Thailand 7Y,Thailand 7-Year
turkey,Turkey 10Y,Turkey 10-Year
turkey,Turkey 3Y,Turkey 3-Year
turkey,Turkey 5Y,Turkey 5-Year
turkey,Turkey 1Y,Turkey 1-Year
turkey,Turkey 2Y,Turkey 2-Year
uganda,Uganda 3M,Uganda 3-Month
uganda,Uganda 6M,Uganda 6-Month
uganda,Uganda 1Y,Uganda 1-Year
uganda,Uganda 2Y,Uganda 2-Year
uganda,Uganda 3Y,Uganda 3-Year
uganda,Uganda 5Y,Uganda 5-Year
uganda,Uganda 10Y,Uganda 10-Year
uganda,Uganda 15Y,Uganda 15-Year
ukraine,Ukraine 3Y,Ukraine 3-Year
ukraine,Ukraine 2Y,Ukraine 2-Year
ukraine,Ukraine 1Y,Ukraine 1-Year
united kingdom,U.K. 40Y,United Kingdom 40-Year
united kingdom,U.K. 50Y,United Kingdom 50-Year
united kingdom,U.K. 30Y,United Kingdom 30-Year
united kingdom,U.K. 25Y,United Kingdom 25-Year
united kingdom,U.K. 15Y,United Kingdom 15-Year
united kingdom,U.K. 12Y,United Kingdom 12-Year
united kingdom,U.K. 10Y,United Kingdom 10-Year
united kingdom,U.K. 9Y,United Kingdom 9-Year
united kingdom,U.K. 8Y,United Kingdom 8-Year
united kingdom,U.K. 20Y,United Kingdom 20-Year
united kingdom,U.K. 6Y,United Kingdom 6-Year
united kingdom,U.K. 5Y,United Kingdom 5-Year
united kingdom,U.K. 4Y,United Kingdom 4-Year
united kingdom,U.K. 3Y,United Kingdom 3-Year
united kingdom,U.K. 2Y,United Kingdom 2-Year
united kingdom,U.K. 1Y,United Kingdom 1-Year
united kingdom,U.K. 6M,United Kingdom 6-Month
united kingdom,U.K. 3M,United Kingdom 3-Month
united kingdom,U.K. 1M,United Kingdom 1-Month
united kingdom,U.K. 7Y,United Kingdom 7-Year
united states,U.S. 30Y,United States 30-Year
united states,U.S. 10Y,United States 10-Year
united states,U.S. 7Y,United States 7-Year
united states,U.S. 5Y,United States 5-Year
united states,U.S. 3Y,United States 3-Year
united states,U.S. 3M,United States 3-Month
united states,U.S. 1Y,United States 1-Year
united states,U.S. 6M,United States 6-Month
united states,U.S. 1M,United States 1-Month
united states,U.S. 2Y,United States 2-Year
vietnam,Vietnam 10Y,Vietnam 10-Year
vietnam,Vietnam 15Y,Vietnam 15 Year
vietnam,Vietnam 7Y,Vietnam 7-Year
vietnam,Vietnam 20Y,Vietnam 20 Year
vietnam,Vietnam 3Y,Vietnam 3-Year
vietnam,Vietnam 2Y,Vietnam 2-Year
vietnam,Vietnam 1Y,Vietnam 1-Year
vietnam,Vietnam 5Y,Vietnam 5-Year
vietnam,Vietnam 25Y,Vietnam 25 Year
